Title,Description,Priority,Size,Role,Milestone
Set up staging server and install Docker,"Provision a VM or server for the staging environment (sso.mozhaiq.dev). Install Docker and Docker Compose. Confirm root/sudo access and open required ports (80 443 8080).",P0,S,Fullstack,M1 — Infrastructure Ready
Write docker-compose.yml for Keycloak and PostgreSQL,"Create the docker-compose.yml with Keycloak (latest stable) and PostgreSQL 16 services as defined in the plan. Include named volume for pgdata. Set restart: unless-stopped on both services.",P0,S,Fullstack,M1 — Infrastructure Ready
Configure .env file and secrets management,"Create .env file with KC_DB_PASSWORD. Add .env to .gitignore. Document secret rotation process. Never commit credentials to the repo.",P0,XS,Fullstack,M1 — Infrastructure Ready
Boot Keycloak in production mode on staging,"Run docker compose up -d on staging. Verify Keycloak starts with start --optimized flag (not dev mode). Confirm Admin Console is accessible on port 8080 locally.",P0,XS,Fullstack,M1 — Infrastructure Ready
Verify PostgreSQL connection from Keycloak,"Run docker compose exec postgres psql -U keycloak -c to confirm DB is up and Keycloak connected successfully on first boot.",P0,XS,Fullstack,M1 — Infrastructure Ready
Configure nginx reverse proxy on staging,"Install nginx on the staging server. Write server block for sso.mozhaiq.dev with proxy_pass to localhost:8080. Set all required proxy headers (Host X-Real-IP X-Forwarded-For X-Forwarded-Proto).",P0,S,Fullstack,M1 — Infrastructure Ready
Obtain and install TLS certificate for staging domain,"Obtain TLS certificate for sso.mozhaiq.dev (Let's Encrypt or internal CA). Configure ssl_certificate and ssl_certificate_key in nginx. Verify HTTPS works end-to-end.",P0,S,Fullstack,M1 — Infrastructure Ready
Set KC_PROXY=edge and KC_HOSTNAME in Keycloak config,"Add KC_PROXY: edge and KC_HOSTNAME: sso.mozhaiq.dev to docker-compose.yml environment block. Restart container and verify Keycloak recognises the correct hostname.",P0,XS,Fullstack,M1 — Infrastructure Ready
Verify Keycloak health endpoint on staging,"Confirm GET https://sso.mozhaiq.dev/health/live and /health/ready return 200. Set up an uptime alert on these endpoints.",P0,XS,APM,M1 — Infrastructure Ready
Repeat infrastructure setup for production,"Replicate all infrastructure steps (Docker Compose nginx TLS .env) on the production server for sso.kiebtg.app. Confirm health endpoints live.",P0,M,Fullstack,M1 — Infrastructure Ready
Create internal realm in Keycloak Admin Console,"Log into Admin Console. Create realm named internal. Confirm it is isolated from master realm. Do not use master realm for any apps.",P0,XS,Fullstack,M2 — Realm & Identity Configured
Create external realm in Keycloak Admin Console,"Create realm named external in Admin Console. Confirm both realms exist independently with separate login pages.",P0,XS,Fullstack,M2 — Realm & Identity Configured
Configure password policy for internal realm,"In internal realm: set minimum length 8 require uppercase lowercase digit hashing bcrypt and password history 5. Validate settings are saved correctly.",P0,XS,Fullstack,M2 — Realm & Identity Configured
Configure password policy for external realm,"In external realm: apply the same password policy as internal (min length 8 uppercase lowercase digit bcrypt history 5).",P0,XS,Fullstack,M2 — Realm & Identity Configured
Define realm-level roles for internal realm,"Create realm roles: employee and admin in the internal realm via Admin Console → Realm Roles.",P1,XS,Fullstack,M2 — Realm & Identity Configured
Define realm-level roles for external realm,"Create realm roles: customer and admin in the external realm via Admin Console → Realm Roles.",P1,XS,Fullstack,M2 — Realm & Identity Configured
Create app-provisioner service client in both realms,"Create a confidential client named app-provisioner in both internal and external realms. Enable Client Credentials grant and assign realm-admin role to its service account. Store client secret in .env.",P0,S,Fullstack,M2 — Realm & Identity Configured
Create mobile-legacy-bridge client in external realm,"Create confidential client mobile-legacy-bridge in external realm. Enable Direct Access Grants (ROPC). Keep this disabled on all other clients.",P1,XS,Fullstack,M2 — Realm & Identity Configured
Document realm config and export realm JSON to git,"Export realm JSON from Admin Console for both internal and external realms. Commit to git repo as baseline config backup. Schedule weekly re-export.",P1,XS,APM,M2 — Realm & Identity Configured
Verify bcrypt cost factor across all app codebases,"Inspect existing password hashes in each app DB: the number after $2b$ is the cost factor. Confirm it is consistent across all apps. Document the confirmed value.",P0,XS,Fullstack,M3 — Users Migrated
Add keycloak_id and sso_linked_at columns to all app DBs,"Run ALTER TABLE users ADD COLUMN keycloak_id VARCHAR(255) UNIQUE and ADD COLUMN sso_linked_at TIMESTAMP on each app database. Add index on keycloak_id.",P0,S,Fullstack,M3 — Users Migrated
Write and test bulk import script on staging,"Implement bulk-import-users.js as defined in the plan. Set KC_REALM=external (or internal). Run against staging Keycloak (sso.mozhaiq.dev) with a test subset of users first.",P0,M,Fullstack,M3 — Users Migrated
Verify test users can log in on staging via Keycloak,"Pick 3–5 test users from staging import. Log in via Keycloak login page using their existing password. Confirm authentication succeeds without password reset.",P0,S,Fullstack,M3 — Users Migrated
Run full user import on staging (all users),"Execute bulk-import-users.js against all users in each app DB targeting sso.mozhaiq.dev. Check import-errors.json and re-run for any failures. Confirm created count matches DB row count.",P0,M,Fullstack,M3 — Users Migrated
Write and run backfill script on staging,"Implement backfill-keycloak-ids.js. Run against staging DB. Verify keycloak_id is populated for all users. Confirm zero NULL keycloak_id remaining for active users.",P0,M,Fullstack,M3 — Users Migrated
Run full user import on production Keycloak,"Execute bulk import against production Keycloak (sso.kiebtg.app) for both internal and external realms. Review errors. Confirm all users exist in Keycloak.",P0,M,Fullstack,M3 — Users Migrated
Run backfill script on production DB,"Execute backfill-keycloak-ids.js against all production app databases. Confirm keycloak_id written for every user. Spot-check 10+ rows manually.",P0,S,Fullstack,M3 — Users Migrated
APM: Track import completion across all apps,"Create a simple tracking sheet: app name confirmed bcrypt cost import count errors resolved keycloak_id backfill complete. Update after each app is processed.",P1,XS,APM,M3 — Users Migrated
Register Wave 1 app as Keycloak client,"In the appropriate realm create a new Client for the first app. Set Client ID protocol redirect URIs web origins and client authentication (OFF for SPA ON for confidential). Use exact redirect URIs.",P0,S,Fullstack,M4 — Wave 1 Apps Integrated
Integrate Wave 1 SPA with oidc-client-ts,"Install oidc-client-ts. Implement UserManager with correct authority client_id and redirect_uri. Wire signinRedirect and signinRedirectCallback. Store token in memory only — never localStorage.",P0,M,Fullstack,M4 — Wave 1 Apps Integrated
Implement JWT validation middleware on Wave 1 backend API,"Install jwks-rsa and jsonwebtoken. Implement verifyToken with JWKS caching (10 min TTL). Validate RS256 algorithm correct audience and correct issuer on every request.",P0,M,Fullstack,M4 — Wave 1 Apps Integrated
Implement SSO callback and keycloak_id lookup on Wave 1 app,"On the SSO callback route: extract sub and email from JWT. Look up user by keycloak_id. If found create session directly. If not found handle as new user creation.",P0,M,Fullstack,M4 — Wave 1 Apps Integrated
Define client-level roles for Wave 1 app in Keycloak,"In the Wave 1 app's Keycloak client define the required client roles following the naming convention app-{id}:{resource}:{action}. Assign roles to test users and verify they appear in JWT claims.",P1,S,Fullstack,M4 — Wave 1 Apps Integrated
End-to-end test Wave 1 SSO login flow,"Perform full login test: visit app → redirect to Keycloak → enter credentials → callback → session created → API call with JWT → authorized response. Confirm no regressions.",P0,S,Fullstack,M4 — Wave 1 Apps Integrated
APM: Communicate Wave 1 SSO rollout to internal users,"Draft and send internal notice about the SSO login change for Wave 1 app. Include what changes what stays the same and who to contact for issues.",P1,XS,APM,M4 — Wave 1 Apps Integrated
Register remaining internal apps as Keycloak clients (Wave 2),"For each remaining internal app register a Keycloak client with exact redirect URIs client authentication settings and web origins. One client per app.",P0,M,Fullstack,M5 — Wave 2 Apps Integrated
Integrate Wave 2 SPAs with oidc-client-ts,"Apply the same oidc-client-ts integration pattern from Wave 1 to all remaining internal SPAs. Reuse the same pattern — do not invent new approaches per app.",P0,L,Fullstack,M5 — Wave 2 Apps Integrated
Implement JWT validation on Wave 2 backend APIs,"Apply the same JWKS-based JWT middleware from Wave 1 to all remaining internal backend APIs. Confirm correct issuer and audience per app.",P0,L,Fullstack,M5 — Wave 2 Apps Integrated
Define client-level roles for all Wave 2 apps,"For each Wave 2 app define client roles in Keycloak following the naming convention. Assign roles to appropriate users or groups.",P1,M,Fullstack,M5 — Wave 2 Apps Integrated
End-to-end test all Wave 2 apps,"Full login test for each Wave 2 app. Confirm JWT flow token validation and role-based access all work correctly per app.",P0,M,Fullstack,M5 — Wave 2 Apps Integrated
APM: Update internal team access matrix,"Update the permission matrix document (app vs group vs roles) to reflect all Wave 2 client roles now live in Keycloak. Share with team leads.",P1,S,APM,M5 — Wave 2 Apps Integrated
Implement auth facade service (ROPC bridge),"Build the auth facade as a Node.js endpoint: POST /api/auth/login. Validate credentials via Keycloak ROPC using mobile-legacy-bridge client. Return old token format wrapping Keycloak JWT.",P0,L,Fullstack,M6 — Auth Facade Live
Implement version gate in auth facade,"Add App-Version check in the facade. Return 410 Gone with update_url for versions below MIN_SUPPORTED_VERSION. Wire the version check before the ROPC call.",P0,S,Fullstack,M6 — Auth Facade Live
Add App-Version header to old mobile app requests,"Update old mobile app to send App-Version as a header or body field on every auth request. This enables the version gate to work correctly.",P1,S,Mobile,M6 — Auth Facade Live
Integrate new mobile app with AppAuth / PKCE,"Implement OIDC Authorization Code + PKCE flow using AppAuth-Android / AppAuth-iOS (or expo-auth-session / flutter_appauth). Wire to sso.kiebtg.app external realm.",P0,L,Mobile,M6 — Auth Facade Live
Test old mobile app through auth facade on staging,"Run old app version against staging facade. Confirm login succeeds. Confirm old token format is returned. Confirm app session works as before.",P0,M,Mobile,M6 — Auth Facade Live
Test new mobile app PKCE flow on staging,"Run new mobile app version against staging Keycloak. Confirm PKCE flow completes. Confirm native JWT received. Confirm API calls authorised.",P0,M,Mobile,M6 — Auth Facade Live
Deploy auth facade to production,"Deploy the auth facade service to production. Confirm routing from old mobile app is live. Confirm ROPC calls reach Keycloak production realm (sso.kiebtg.app).",P0,S,Fullstack,M6 — Auth Facade Live
Register Wave 3 customer-facing apps as Keycloak clients,"For each customer-facing app register a Keycloak client in the external realm. Set exact redirect URIs web origins and client authentication. Double check settings before enabling SSO.",P0,M,Fullstack,M7 — Wave 3 Apps Integrated
Integrate Wave 3 SPAs with oidc-client-ts (external realm),"Apply oidc-client-ts integration to customer-facing SPAs. Use external realm authority URL. Token stored in memory only.",P0,L,Fullstack,M7 — Wave 3 Apps Integrated
Implement JWT validation on Wave 3 backend APIs,"Apply JWKS middleware to Wave 3 backend APIs. Use external realm issuer and correct audience per app.",P0,L,Fullstack,M7 — Wave 3 Apps Integrated
Define client-level roles for Wave 3 apps,"Define client roles for all Wave 3 apps in the external realm. Assign customer realm role + app-specific client roles to test external users.",P1,M,Fullstack,M7 — Wave 3 Apps Integrated
End-to-end test Wave 3 apps with real external users,"Perform login tests with a sample of real external users. Confirm full flow from login to API access works. Confirm no disruption to existing sessions.",P0,M,Fullstack,M7 — Wave 3 Apps Integrated
APM: Communicate SSO rollout to external users (Wave 3),"Draft and publish external user notice about the login change. Explain what changes what stays the same and support contact. Coordinate with product/support team.",P0,M,APM,M7 — Wave 3 Apps Integrated
Disable local login form on Wave 1 app,"Remove or hide the local email/password login form on the Wave 1 app. SSO is now the only login path. Verify no local auth code path remains active.",P1,S,Fullstack,M8 — Local Auth Decommissioned
Remove password columns from Wave 1 app database,"Drop password_hash and related auth columns from the Wave 1 app's users table after confirming keycloak_id is populated for all users and SSO has been stable for 2+ weeks.",P1,S,Fullstack,M8 — Local Auth Decommissioned
Remove local auth dependencies from Wave 1 codebase,"Uninstall auth libraries (bcrypt passport etc) no longer needed. Remove middleware routes and config related to local auth. Clean up dead code.",P1,M,Fullstack,M8 — Local Auth Decommissioned
Repeat local auth decommission for all remaining apps,"Perform the same disable-remove-cleanup steps for all Wave 2 and Wave 3 apps. Work through apps one by one after each has been stable for at least 2 weeks.",P1,XL,Fullstack,M8 — Local Auth Decommissioned
APM: Confirm decommission completion across all apps,"Verify all apps have local auth disabled password columns removed and unused deps cleaned. Update project tracker. Mark M8 complete.",P1,S,APM,M8 — Local Auth Decommissioned
Monitor app store adoption rate for old mobile version,"Track percentage of active external users on the new mobile app version via app store analytics. Target: ≥90% before triggering hard cutoff.",P1,S,APM,M9 — Mobile Facade Sunset
Add in-app deprecation banner to old mobile app,"At month 3–4 ship an update to the old mobile app showing an in-app banner: Please update your app by [date]. Link to app store listing.",P1,M,Mobile,M9 — Mobile Facade Sunset
Enforce 410 Gone in auth facade for unsupported versions,"At month 6–9 (when adoption ≥90%) update MIN_SUPPORTED_VERSION in the facade to cut off old versions. Deploy. Confirm 410 response returned to old clients.",P0,S,Fullstack,M9 — Mobile Facade Sunset
Decommission auth facade service,"After cutoff is stable and no old clients are reaching the facade shut down the facade service. Remove the mobile-legacy-bridge client from Keycloak. Clean up related code.",P1,M,Fullstack,M9 — Mobile Facade Sunset
APM: Final mobile migration sign-off,"Confirm facade is decommissioned adoption is 100% on new app and no legacy auth paths remain. Update project documentation and close out the migration.",P1,XS,APM,M9 — Mobile Facade Sunset
Set up daily PostgreSQL backup via pg_dump,"Configure a cron job or scheduled task to run pg_dump keycloak daily. Store backup files off-server (S3 NAS or equivalent). Test restore procedure.",P0,S,Fullstack,M1 — Infrastructure Ready
Set up weekly realm JSON export,"Schedule a weekly reminder or script to export realm JSON from Keycloak Admin Console for both realms. Commit to git or store in secure backup location.",P1,XS,APM,M2 — Realm & Identity Configured
Configure uptime monitoring and alerts,"Set up uptime alerts on /health/live and /health/ready for both staging and production. Configure notification to the team on failure (email Slack etc).",P0,S,Fullstack,M1 — Infrastructure Ready
Enable and configure Keycloak event logging,"Enable Admin Events and Login Events in both realms (Realm Settings → Events). Set retention period. Confirm login failure events are captured.",P1,XS,Fullstack,M2 — Realm & Identity Configured
Enable 2FA on all Keycloak admin accounts,"Enforce 2FA for all accounts with admin access to the Keycloak master realm and realm-admin accounts. Verify OTP setup for each team member with admin access.",P0,XS,APM,M2 — Realm & Identity Configured
Create realm-admin user per realm for day-to-day ops,"Create a dedicated realm-admin user in both internal and external realms. Use these for daily operations. Reserve master realm admin credentials in password manager only for break-glass use.",P0,XS,Fullstack,M2 — Realm & Identity Configured
